




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (8193)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of focal adhesion assembly (GO:0051893)	66	53	26.26	+	2.02	2.12E-04	5.89E-03
regulation of cell-substrate junction assembly (GO:0090109)	66	53	26.26	+	2.02	2.12E-04	5.88E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	79	45.75	+	1.73	2.28E-04	6.31E-03
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	151	98	60.07	+	1.63	2.28E-04	6.30E-03
respiratory system development (GO:0060541)	199	122	79.17	+	1.54	2.30E-04	6.34E-03
neuropeptide signaling pathway (GO:0007218)	109	18	43.36	-	.42	2.30E-04	6.34E-03
cellular lipid metabolic process (GO:0044255)	903	444	359.23	+	1.24	2.30E-04	6.34E-03
homeostasis of number of cells (GO:0048872)	230	137	91.50	+	1.50	2.34E-04	6.42E-03
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	89	53.31	+	1.67	2.43E-04	6.67E-03
regulation of mRNA metabolic process (GO:1903311)	291	166	115.76	+	1.43	2.46E-04	6.75E-03
lung development (GO:0030324)	173	109	68.82	+	1.58	2.49E-04	6.79E-03
DNA damage checkpoint signaling (GO:0000077)	106	74	42.17	+	1.75	2.52E-04	6.88E-03
positive regulation of cytoskeleton organization (GO:0051495)	218	131	86.72	+	1.51	2.59E-04	7.05E-03
endomembrane system organization (GO:0010256)	493	260	196.12	+	1.33	2.64E-04	7.19E-03
regulation of neuron apoptotic process (GO:0043523)	211	127	83.94	+	1.51	2.66E-04	7.21E-03
microtubule organizing center organization (GO:0031023)	102	72	40.58	+	1.77	2.66E-04	7.20E-03
embryonic morphogenesis (GO:0048598)	568	294	225.96	+	1.30	2.67E-04	7.22E-03
establishment or maintenance of cell polarity (GO:0007163)	197	120	78.37	+	1.53	2.74E-04	7.40E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	290	73	115.37	-	.63	2.77E-04	7.47E-03
positive regulation of autophagy (GO:0010508)	125	84	49.73	+	1.69	2.77E-04	7.46E-03
macroautophagy (GO:0016236)	156	100	62.06	+	1.61	2.78E-04	7.47E-03
negative regulation of apoptotic signaling pathway (GO:2001234)	221	132	87.92	+	1.50	2.81E-04	7.55E-03
positive regulation of cell development (GO:0010720)	298	169	118.55	+	1.43	2.85E-04	7.64E-03
visual perception (GO:0007601)	217	50	86.33	-	.58	2.89E-04	7.72E-03
mitochondrion organization (GO:0007005)	409	221	162.71	+	1.36	2.91E-04	7.78E-03
animal organ morphogenesis (GO:0009887)	957	466	380.71	+	1.22	2.97E-04	7.90E-03
regulation of response to endoplasmic reticulum stress (GO:1905897)	84	62	33.42	+	1.86	3.04E-04	8.08E-03
regulation of stress-activated MAPK cascade (GO:0032872)	187	115	74.39	+	1.55	3.14E-04	8.33E-03
sensory perception of light stimulus (GO:0050953)	220	51	87.52	-	.58	3.18E-04	8.44E-03
Golgi vesicle transport (GO:0048193)	286	163	113.78	+	1.43	3.26E-04	8.62E-03
glycerophospholipid biosynthetic process (GO:0046474)	203	123	80.76	+	1.52	3.26E-04	8.62E-03
protein autophosphorylation (GO:0046777)	188	115	74.79	+	1.54	3.27E-04	8.63E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	245	59	97.46	-	.61	3.31E-04	8.70E-03
protein stabilization (GO:0050821)	196	119	77.97	+	1.53	3.32E-04	8.73E-03
cellular response to lipid (GO:0071396)	488	256	194.13	+	1.32	3.38E-04	8.86E-03
intrinsic apoptotic signaling pathway (GO:0097193)	148	95	58.88	+	1.61	3.40E-04	8.91E-03
viral process (GO:0016032)	253	147	100.65	+	1.46	3.41E-04	8.93E-03
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	190	116	75.58	+	1.53	3.46E-04	9.03E-03
regulation of protein polymerization (GO:0032271)	237	139	94.28	+	1.47	3.48E-04	9.06E-03
regulation of smooth muscle cell migration (GO:0014910)	68	53	27.05	+	1.96	3.59E-04	9.35E-03
regulation of cell-matrix adhesion (GO:0001952)	125	83	49.73	+	1.67	3.69E-04	9.58E-03
cellular component disassembly (GO:0022411)	275	157	109.40	+	1.44	3.78E-04	9.81E-03
negative regulation of catalytic activity (GO:0043086)	777	385	309.10	+	1.25	3.81E-04	9.85E-03
glycerolipid biosynthetic process (GO:0045017)	225	133	89.51	+	1.49	3.89E-04	1.00E-02
dephosphorylation (GO:0016311)	314	175	124.91	+	1.40	3.94E-04	1.02E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	408	219	162.31	+	1.35	3.98E-04	1.03E-02
oxoacid metabolic process (GO:0043436)	832	409	330.98	+	1.24	4.01E-04	1.03E-02
ribose phosphate metabolic process (GO:0019693)	335	185	133.27	+	1.39	4.03E-04	1.03E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	245	142	97.46	+	1.46	4.24E-04	1.09E-02
membrane invagination (GO:0010324)	148	30	58.88	-	.51	4.29E-04	1.10E-02
positive regulation of mitotic cell cycle (GO:0045931)	112	76	44.56	+	1.71	4.53E-04	1.16E-02
positive regulation of cellular amide metabolic process (GO:0034250)	163	102	64.84	+	1.57	4.60E-04	1.17E-02
cellular response to UV (GO:0034644)	91	65	36.20	+	1.80	4.73E-04	1.20E-02
protein localization to cell periphery (GO:1990778)	233	136	92.69	+	1.47	4.76E-04	1.21E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	250	144	99.45	+	1.45	4.77E-04	1.21E-02
small GTPase mediated signal transduction (GO:0007264)	260	149	103.43	+	1.44	4.90E-04	1.24E-02
nucleoside phosphate metabolic process (GO:0006753)	423	225	168.28	+	1.34	4.93E-04	1.25E-02
axonogenesis (GO:0007409)	337	185	134.06	+	1.38	4.98E-04	1.26E-02
spindle assembly (GO:0051225)	92	65	36.60	+	1.78	5.05E-04	1.27E-02
regulation of small GTPase mediated signal transduction (GO:0051056)	308	171	122.53	+	1.40	5.08E-04	1.28E-02
cellular response to hydrogen peroxide (GO:0070301)	73	55	29.04	+	1.89	5.27E-04	1.32E-02
lymphocyte mediated immunity (GO:0002449)	235	57	93.49	-	.61	5.28E-04	1.33E-02
epithelium development (GO:0060429)	962	464	382.70	+	1.21	5.34E-04	1.34E-02
centrosome cycle (GO:0007098)	88	63	35.01	+	1.80	5.37E-04	1.35E-02
reproductive system development (GO:0061458)	418	222	166.29	+	1.34	5.40E-04	1.35E-02
RNA biosynthetic process (GO:0032774)	407	217	161.91	+	1.34	5.42E-04	1.35E-02
positive regulation of protein-containing complex assembly (GO:0031334)	230	134	91.50	+	1.46	5.44E-04	1.35E-02
regulation of smooth muscle cell proliferation (GO:0048660)	147	93	58.48	+	1.59	5.46E-04	1.36E-02
cell-substrate adhesion (GO:0031589)	183	111	72.80	+	1.52	5.54E-04	1.37E-02
regulation of mitotic nuclear division (GO:0007088)	111	75	44.16	+	1.70	5.72E-04	1.42E-02
cellular response to reactive oxygen species (GO:0034614)	123	81	48.93	+	1.66	5.74E-04	1.42E-02
positive regulation of neurogenesis (GO:0050769)	224	131	89.11	+	1.47	5.76E-04	1.42E-02
ossification (GO:0001503)	268	152	106.61	+	1.43	5.81E-04	1.43E-02
protein-containing complex localization (GO:0031503)	192	115	76.38	+	1.51	5.84E-04	1.44E-02
lipid metabolic process (GO:0006629)	1156	548	459.87	+	1.19	5.95E-04	1.46E-02
nucleotide metabolic process (GO:0009117)	414	220	164.70	+	1.34	5.98E-04	1.47E-02
carboxylic acid metabolic process (GO:0019752)	808	396	321.43	+	1.23	6.08E-04	1.49E-02
positive regulation of nervous system development (GO:0051962)	271	153	107.81	+	1.42	6.20E-04	1.52E-02
regulation of angiogenesis (GO:0045765)	280	157	111.39	+	1.41	6.20E-04	1.52E-02
protein-containing complex disassembly (GO:0032984)	119	79	47.34	+	1.67	6.33E-04	1.54E-02
positive regulation of DNA-binding transcription factor activity (GO:0051091)	263	149	104.63	+	1.42	6.36E-04	1.55E-02
regulation of chromosome segregation (GO:0051983)	91	64	36.20	+	1.77	6.43E-04	1.56E-02
ribose phosphate biosynthetic process (GO:0046390)	166	102	66.04	+	1.54	6.51E-04	1.58E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	73	42.96	+	1.70	6.55E-04	1.59E-02
nuclear chromosome segregation (GO:0098813)	221	129	87.92	+	1.47	6.58E-04	1.59E-02
regulation of osteoblast differentiation (GO:0045667)	120	79	47.74	+	1.65	6.60E-04	1.60E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	86	61	34.21	+	1.78	6.64E-04	1.60E-02
regulation of vasculature development (GO:1901342)	284	159	112.98	+	1.41	6.66E-04	1.60E-02
tube formation (GO:0035148)	146	92	58.08	+	1.58	6.70E-04	1.61E-02
cellular response to oxygen levels (GO:0071453)	160	99	63.65	+	1.56	6.73E-04	1.62E-02
positive regulation of Wnt signaling pathway (GO:0030177)	140	89	55.69	+	1.60	6.86E-04	1.65E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	82	59	32.62	+	1.81	6.97E-04	1.67E-02
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	122	80	48.53	+	1.65	7.19E-04	1.72E-02
cellular response to cytokine stimulus (GO:0071345)	702	348	279.27	+	1.25	7.21E-04	1.72E-02
leukocyte mediated immunity (GO:0002443)	282	73	112.18	-	.65	7.25E-04	1.73E-02
positive regulation of blood vessel endothelial cell migration (GO:0043536)	55	44	21.88	+	2.01	7.31E-04	1.74E-02
ribonucleoprotein complex subunit organization (GO:0071826)	193	115	76.78	+	1.50	7.39E-04	1.76E-02
positive regulation of supramolecular fiber organization (GO:1902905)	201	119	79.96	+	1.49	7.40E-04	1.76E-02
mitotic cytokinesis (GO:0000281)	68	51	27.05	+	1.89	7.40E-04	1.75E-02
detection of visible light (GO:0009584)	45	4	17.90	-	.22	7.44E-04	1.76E-02
neural tube development (GO:0021915)	156	97	62.06	+	1.56	7.44E-04	1.76E-02
cellular response to radiation (GO:0071478)	178	108	70.81	+	1.53	7.49E-04	1.77E-02
regulation of developmental growth (GO:0048638)	320	175	127.30	+	1.37	7.53E-04	1.77E-02
positive regulation of translation (GO:0045727)	137	87	54.50	+	1.60	7.89E-04	1.86E-02
regulation of microtubule-based process (GO:0032886)	247	141	98.26	+	1.43	8.06E-04	1.89E-02
organic acid metabolic process (GO:0006082)	854	414	339.73	+	1.22	8.28E-04	1.94E-02
reproductive structure development (GO:0048608)	415	219	165.09	+	1.33	8.29E-04	1.94E-02
RNA localization (GO:0006403)	190	113	75.58	+	1.50	8.47E-04	1.98E-02
positive regulation of chromosome organization (GO:2001252)	175	106	69.62	+	1.52	8.56E-04	2.00E-02
activation of protein kinase activity (GO:0032147)	126	81	50.12	+	1.62	8.65E-04	2.02E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	63	36.20	+	1.74	8.79E-04	2.05E-02
regulation of cell junction assembly (GO:1901888)	200	118	79.56	+	1.48	8.92E-04	2.07E-02
ribonucleotide metabolic process (GO:0009259)	324	176	128.89	+	1.37	9.53E-04	2.21E-02
MAPK cascade (GO:0000165)	179	107	71.21	+	1.50	9.72E-04	2.25E-02
response to acid chemical (GO:0001101)	136	86	54.10	+	1.59	9.73E-04	2.25E-02
homeostatic process (GO:0042592)	1556	715	619.00	+	1.16	9.81E-04	2.27E-02
serotonin receptor signaling pathway (GO:0007210)	39	3	15.51	-	.19	9.84E-04	2.27E-02
cytokinesis (GO:0000910)	99	67	39.38	+	1.70	9.89E-04	2.28E-02
transcription, DNA-templated (GO:0006351)	394	208	156.74	+	1.33	1.00E-03	2.31E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	117	76	46.54	+	1.63	1.01E-03	2.31E-02
response to light stimulus (GO:0009416)	317	173	126.11	+	1.37	1.01E-03	2.31E-02
DNA geometric change (GO:0032392)	88	61	35.01	+	1.74	1.01E-03	2.32E-02
extrinsic apoptotic signaling pathway (GO:0097191)	88	61	35.01	+	1.74	1.01E-03	2.31E-02
regulation of sister chromatid segregation (GO:0033045)	73	53	29.04	+	1.83	1.04E-03	2.37E-02
regulation of chromosome separation (GO:1905818)	73	53	29.04	+	1.83	1.04E-03	2.36E-02
regulation of microtubule polymerization or depolymerization (GO:0031110)	89	62	35.41	+	1.75	1.05E-03	2.39E-02
regulation of mitochondrion organization (GO:0010821)	145	90	57.68	+	1.56	1.06E-03	2.41E-02
RNA transport (GO:0050658)	167	101	66.44	+	1.52	1.06E-03	2.41E-02
nucleic acid transport (GO:0050657)	167	101	66.44	+	1.52	1.06E-03	2.41E-02
mesenchyme development (GO:0060485)	224	129	89.11	+	1.45	1.06E-03	2.41E-02
ERAD pathway (GO:0036503)	95	65	37.79	+	1.72	1.07E-03	2.42E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	119	77	47.34	+	1.63	1.08E-03	2.44E-02
response to transforming growth factor beta (GO:0071559)	146	91	58.08	+	1.57	1.09E-03	2.46E-02
regulation of vesicle-mediated transport (GO:0060627)	529	269	210.44	+	1.28	1.09E-03	2.46E-02
regulation of B cell activation (GO:0050864)	216	53	85.93	-	.62	1.09E-03	2.46E-02
antigen receptor-mediated signaling pathway (GO:0050851)	216	53	85.93	-	.62	1.09E-03	2.45E-02
renal system development (GO:0072001)	291	160	115.76	+	1.38	1.09E-03	2.45E-02
mRNA processing (GO:0006397)	437	227	173.85	+	1.31	1.10E-03	2.45E-02
kidney development (GO:0001822)	282	156	112.18	+	1.39	1.11E-03	2.48E-02
neural tube closure (GO:0001843)	90	62	35.80	+	1.73	1.11E-03	2.48E-02
establishment of RNA localization (GO:0051236)	169	102	67.23	+	1.52	1.12E-03	2.51E-02
ribosome biogenesis (GO:0042254)	293	161	116.56	+	1.38	1.13E-03	2.51E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	263	68	104.63	-	.65	1.13E-03	2.52E-02
immune response-activating signal transduction (GO:0002757)	263	68	104.63	-	.65	1.13E-03	2.52E-02
membrane organization (GO:0061024)	783	381	311.49	+	1.22	1.15E-03	2.55E-02
epithelial to mesenchymal transition (GO:0001837)	75	54	29.84	+	1.81	1.16E-03	2.57E-02
Ras protein signal transduction (GO:0007265)	170	102	67.63	+	1.51	1.17E-03	2.58E-02
nucleic acid-templated transcription (GO:0097659)	395	208	157.14	+	1.32	1.18E-03	2.61E-02
negative regulation of growth (GO:0045926)	247	139	98.26	+	1.41	1.19E-03	2.62E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	203	118	80.76	+	1.46	1.19E-03	2.63E-02
embryonic organ development (GO:0048568)	433	225	172.25	+	1.31	1.21E-03	2.65E-02
hepaticobiliary system development (GO:0061008)	142	88	56.49	+	1.56	1.22E-03	2.68E-02
regulation of mitotic sister chromatid separation (GO:0010965)	66	49	26.26	+	1.87	1.22E-03	2.68E-02
protein monoubiquitination (GO:0006513)	61	46	24.27	+	1.90	1.23E-03	2.69E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	46	24.27	+	1.90	1.23E-03	2.69E-02
purine nucleotide metabolic process (GO:0006163)	320	173	127.30	+	1.36	1.25E-03	2.74E-02
neural tube formation (GO:0001841)	104	69	41.37	+	1.67	1.25E-03	2.73E-02
purine-containing compound metabolic process (GO:0072521)	342	183	136.05	+	1.35	1.26E-03	2.75E-02
establishment of cell polarity (GO:0030010)	123	79	48.93	+	1.61	1.27E-03	2.75E-02
regulation of DNA repair (GO:0006282)	130	82	51.72	+	1.59	1.29E-03	2.80E-02
mRNA transport (GO:0051028)	137	86	54.50	+	1.58	1.29E-03	2.80E-02
skeletal system development (GO:0001501)	478	245	190.16	+	1.29	1.29E-03	2.80E-02
chromosome localization (GO:0050000)	77	55	30.63	+	1.80	1.31E-03	2.83E-02
sphingolipid metabolic process (GO:0006665)	152	93	60.47	+	1.54	1.33E-03	2.86E-02
urogenital system development (GO:0001655)	324	175	128.89	+	1.36	1.33E-03	2.87E-02
positive regulation of angiogenesis (GO:0045766)	160	97	63.65	+	1.52	1.35E-03	2.91E-02
positive regulation of vasculature development (GO:1904018)	160	97	63.65	+	1.52	1.35E-03	2.90E-02
peptidyl-threonine modification (GO:0018210)	83	58	33.02	+	1.76	1.37E-03	2.93E-02
negative regulation of MAPK cascade (GO:0043409)	168	101	66.83	+	1.51	1.37E-03	2.93E-02
regulation of cell division (GO:0051302)	176	105	70.02	+	1.50	1.38E-03	2.95E-02
regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	38	33	15.12	+	2.18	1.38E-03	2.95E-02
regulation of muscle cell differentiation (GO:0051147)	132	83	52.51	+	1.58	1.38E-03	2.95E-02
phospholipid metabolic process (GO:0006644)	360	191	143.21	+	1.33	1.39E-03	2.95E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	54	42	21.48	+	1.96	1.40E-03	2.98E-02
response to ketone (GO:1901654)	193	113	76.78	+	1.47	1.40E-03	2.98E-02
negative regulation of binding (GO:0051100)	161	97	64.05	+	1.51	1.40E-03	2.98E-02
negative regulation of neuron death (GO:1901215)	210	121	83.54	+	1.45	1.40E-03	2.98E-02
regulation of cell size (GO:0008361)	185	109	73.60	+	1.48	1.41E-03	2.99E-02
regulation of nuclear division (GO:0051783)	140	87	55.69	+	1.56	1.43E-03	3.03E-02
immune system development (GO:0002520)	665	328	264.55	+	1.24	1.43E-03	3.03E-02
ribonucleoprotein complex assembly (GO:0022618)	186	109	73.99	+	1.47	1.46E-03	3.08E-02
protein localization to chromosome (GO:0034502)	69	50	27.45	+	1.82	1.51E-03	3.19E-02
cell surface receptor signaling pathway (GO:0007166)	2030	911	807.56	+	1.13	1.52E-03	3.20E-02
viral life cycle (GO:0019058)	172	102	68.42	+	1.49	1.55E-03	3.25E-02
tube closure (GO:0060606)	91	62	36.20	+	1.71	1.56E-03	3.27E-02
cellular response to topologically incorrect protein (GO:0035967)	97	65	38.59	+	1.68	1.57E-03	3.29E-02
cytoskeleton-dependent cytokinesis (GO:0061640)	97	65	38.59	+	1.68	1.57E-03	3.29E-02
protein K48-linked ubiquitination (GO:0070936)	60	45	23.87	+	1.89	1.58E-03	3.30E-02
protein localization to plasma membrane (GO:0072659)	198	115	78.77	+	1.46	1.59E-03	3.31E-02
mRNA splicing, via spliceosome (GO:0000398)	234	132	93.09	+	1.42	1.60E-03	3.34E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	234	132	93.09	+	1.42	1.60E-03	3.34E-02
establishment of chromosome localization (GO:0051303)	75	53	29.84	+	1.78	1.61E-03	3.36E-02
RNA catabolic process (GO:0006401)	158	95	62.85	+	1.51	1.62E-03	3.36E-02
ribonucleotide biosynthetic process (GO:0009260)	158	95	62.85	+	1.51	1.62E-03	3.35E-02
regulation of viral process (GO:0050792)	166	99	66.04	+	1.50	1.62E-03	3.36E-02
phototransduction (GO:0007602)	42	4	16.71	-	.24	1.65E-03	3.41E-02
regulation of mRNA catabolic process (GO:0061013)	167	100	66.44	+	1.51	1.66E-03	3.43E-02
nucleotide biosynthetic process (GO:0009165)	218	124	86.72	+	1.43	1.69E-03	3.48E-02
regulation of fibroblast proliferation (GO:0048145)	81	56	32.22	+	1.74	1.69E-03	3.48E-02
regulation of endocytosis (GO:0030100)	210	120	83.54	+	1.44	1.72E-03	3.55E-02
DNA duplex unwinding (GO:0032508)	82	57	32.62	+	1.75	1.75E-03	3.59E-02
vacuole organization (GO:0007033)	146	89	58.08	+	1.53	1.75E-03	3.60E-02
nucleoside phosphate biosynthetic process (GO:1901293)	220	125	87.52	+	1.43	1.76E-03	3.60E-02
liver development (GO:0001889)	139	86	55.30	+	1.56	1.76E-03	3.60E-02
DNA conformation change (GO:0071103)	269	148	107.01	+	1.38	1.80E-03	3.67E-02
cytosolic transport (GO:0016482)	148	90	58.88	+	1.53	1.86E-03	3.79E-02
negative regulation of cytoskeleton organization (GO:0051494)	156	94	62.06	+	1.51	1.88E-03	3.84E-02
regulation of axonogenesis (GO:0050770)	156	94	62.06	+	1.51	1.88E-03	3.83E-02
muscle cell differentiation (GO:0042692)	252	140	100.25	+	1.40	1.89E-03	3.85E-02
regulation of hydrolase activity (GO:0051336)	1033	486	410.94	+	1.18	1.95E-03	3.96E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	108	70	42.96	+	1.63	1.95E-03	3.95E-02
regulation of histone modification (GO:0031056)	157	94	62.46	+	1.51	1.95E-03	3.96E-02
purine ribonucleotide metabolic process (GO:0009150)	306	165	121.73	+	1.36	1.97E-03	3.98E-02
protein import (GO:0017038)	150	91	59.67	+	1.52	1.98E-03	3.99E-02
regulation of actin polymerization or depolymerization (GO:0008064)	190	110	75.58	+	1.46	1.98E-03	3.99E-02
primary neural tube formation (GO:0014020)	96	64	38.19	+	1.68	1.99E-03	4.00E-02
regulation of cell morphogenesis involved in differentiation (GO:0010769)	96	64	38.19	+	1.68	1.99E-03	4.00E-02
platelet-derived growth factor receptor signaling pathway (GO:0048008)	34	30	13.53	+	2.22	1.99E-03	4.00E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	143	87	56.89	+	1.53	2.02E-03	4.05E-02
peptidyl-threonine phosphorylation (GO:0018107)	74	52	29.44	+	1.77	2.05E-03	4.11E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	64	47	25.46	+	1.85	2.06E-03	4.13E-02
morphogenesis of embryonic epithelium (GO:0016331)	144	88	57.29	+	1.54	2.07E-03	4.14E-02
RNA splicing, via transesterification reactions (GO:0000375)	238	133	94.68	+	1.40	2.10E-03	4.19E-02
negative regulation of protein-containing complex assembly (GO:0031333)	137	84	54.50	+	1.54	2.10E-03	4.18E-02
embryonic epithelial tube formation (GO:0001838)	123	77	48.93	+	1.57	2.11E-03	4.20E-02
RNA splicing (GO:0008380)	356	187	141.62	+	1.32	2.11E-03	4.20E-02
glycoprotein metabolic process (GO:0009100)	334	177	132.87	+	1.33	2.14E-03	4.26E-02
glycerophospholipid metabolic process (GO:0006650)	291	157	115.76	+	1.36	2.19E-03	4.35E-02
muscle tissue development (GO:0060537)	303	163	120.54	+	1.35	2.22E-03	4.40E-02
cellular response to transforming growth factor beta stimulus (GO:0071560)	139	85	55.30	+	1.54	2.23E-03	4.41E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	105	68	41.77	+	1.63	2.24E-03	4.43E-02
mRNA catabolic process (GO:0006402)	125	78	49.73	+	1.57	2.25E-03	4.44E-02
signal transduction by p53 class mediator (GO:0072331)	87	59	34.61	+	1.70	2.27E-03	4.47E-02
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	76	53	30.23	+	1.75	2.28E-03	4.50E-02
vacuolar transport (GO:0007034)	155	93	61.66	+	1.51	2.29E-03	4.51E-02
negative regulation of protein ubiquitination (GO:0031397)	82	56	32.62	+	1.72	2.35E-03	4.61E-02
positive regulation of cell adhesion (GO:0045785)	442	226	175.83	+	1.29	2.36E-03	4.64E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	62	37.39	+	1.66	2.40E-03	4.70E-02
defense response to other organism (GO:0098542)	989	326	393.44	-	.83	2.40E-03	4.70E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	20	40.58	-	.49	2.44E-03	4.76E-02
cellular response to decreased oxygen levels (GO:0036294)	142	86	56.49	+	1.52	2.46E-03	4.79E-02
regulation of actin filament length (GO:0030832)	191	110	75.98	+	1.45	2.48E-03	4.83E-02
protein acylation (GO:0043543)	174	102	69.22	+	1.47	2.48E-03	4.83E-02
hematopoietic or lymphoid organ development (GO:0048534)	627	308	249.43	+	1.23	2.50E-03	4.86E-02
heart morphogenesis (GO:0003007)	238	132	94.68	+	1.39	2.52E-03	4.90E-02
cellular response to acid chemical (GO:0071229)	78	54	31.03	+	1.74	2.55E-03	4.96E-02
regulation of TOR signaling (GO:0032006)	102	66	40.58	+	1.63	2.58E-03	5.00E-02
negative regulation of supramolecular fiber organization (GO:1902904)	159	94	63.25	+	1.49	2.58E-03	5.00E-02
